fold,test_subject,eval_unit,subject,window_idx,prob,target
1,Subject00,window,Subject00,tensor(37),0.07033952325582504,1
1,Subject00,window,Subject00,tensor(38),0.09295462816953659,1
1,Subject00,window,Subject00,tensor(39),0.037582606077194214,1
1,Subject00,window,Subject00,tensor(40),0.31965312361717224,1
1,Subject00,window,Subject00,tensor(41),0.12254530936479568,1
1,Subject00,window,Subject00,tensor(42),0.04021879658102989,1
1,Subject00,window,Subject00,tensor(43),0.052447617053985596,1
1,Subject00,window,Subject00,tensor(44),0.4771948456764221,1
1,Subject00,window,Subject00,tensor(45),0.23795805871486664,1
1,Subject00,window,Subject00,tensor(46),0.16490612924098969,1
1,Subject00,window,Subject00,tensor(47),0.05683964118361473,1
2,Subject01,window,Subject01,tensor(48),0.2926281690597534,0
2,Subject01,window,Subject01,tensor(49),0.28751465678215027,0
2,Subject01,window,Subject01,tensor(50),0.2810766100883484,0
2,Subject01,window,Subject01,tensor(51),0.3093329668045044,0
2,Subject01,window,Subject01,tensor(52),0.31178992986679077,0
2,Subject01,window,Subject01,tensor(53),0.30840662121772766,0
2,Subject01,window,Subject01,tensor(54),0.32460564374923706,0
2,Subject01,window,Subject01,tensor(55),0.29854467511177063,0
2,Subject01,window,Subject01,tensor(56),0.31816565990448,0
2,Subject01,window,Subject01,tensor(57),0.306768536567688,0
2,Subject01,window,Subject01,tensor(58),0.2746739685535431,0
2,Subject01,window,Subject01,tensor(59),0.3046584129333496,0
2,Subject01,window,Subject01,tensor(60),0.3097527027130127,0
2,Subject01,window,Subject01,tensor(61),0.2848656475543976,0
2,Subject01,window,Subject01,tensor(62),0.30104827880859375,0
2,Subject01,window,Subject01,tensor(63),0.302507221698761,0
2,Subject01,window,Subject01,tensor(64),0.31466493010520935,0
2,Subject01,window,Subject01,tensor(65),0.29570671916007996,0
2,Subject01,window,Subject01,tensor(66),0.30530068278312683,0
2,Subject01,window,Subject01,tensor(67),0.27899980545043945,0
2,Subject01,window,Subject01,tensor(68),0.2989017963409424,0
2,Subject01,window,Subject01,tensor(69),0.28666314482688904,0
2,Subject01,window,Subject01,tensor(70),0.29200562834739685,0
2,Subject01,window,Subject01,tensor(71),0.2817358672618866,0
2,Subject01,window,Subject01,tensor(72),0.2933872640132904,0
2,Subject01,window,Subject01,tensor(73),0.28713396191596985,0
2,Subject01,window,Subject01,tensor(74),0.30539312958717346,0
2,Subject01,window,Subject01,tensor(75),0.30913567543029785,0
2,Subject01,window,Subject01,tensor(76),0.2616584300994873,0
2,Subject01,window,Subject01,tensor(77),0.27622190117836,0
2,Subject01,window,Subject01,tensor(78),0.2925962209701538,0
2,Subject01,window,Subject01,tensor(79),0.28583166003227234,0
2,Subject01,window,Subject01,tensor(80),0.3088808059692383,0
2,Subject01,window,Subject01,tensor(81),0.292758971452713,0
2,Subject01,window,Subject01,tensor(82),0.29762351512908936,0
2,Subject01,window,Subject01,tensor(83),0.25826704502105713,0
2,Subject01,window,Subject01,tensor(84),0.3108229339122772,1
2,Subject01,window,Subject01,tensor(85),0.2986881732940674,1
2,Subject01,window,Subject01,tensor(86),0.293028324842453,1
2,Subject01,window,Subject01,tensor(87),0.2992452085018158,1
2,Subject01,window,Subject01,tensor(88),0.2735465466976166,1
2,Subject01,window,Subject01,tensor(89),0.29400160908699036,1
2,Subject01,window,Subject01,tensor(90),0.29034334421157837,1
2,Subject01,window,Subject01,tensor(91),0.2973954677581787,1
2,Subject01,window,Subject01,tensor(92),0.2978379726409912,1
2,Subject01,window,Subject01,tensor(93),0.3212748169898987,1
2,Subject01,window,Subject01,tensor(94),0.2779017686843872,1
2,Subject01,window,Subject01,tensor(95),0.2810209393501282,1
3,Subject02,window,Subject02,tensor(96),0.10322920233011246,0
3,Subject02,window,Subject02,tensor(97),0.34269362688064575,0
3,Subject02,window,Subject02,tensor(98),0.1207011342048645,0
3,Subject02,window,Subject02,tensor(99),0.8169808387756348,0
3,Subject02,window,Subject02,tensor(100),0.33344945311546326,0
3,Subject02,window,Subject02,tensor(101),0.23441682755947113,0
3,Subject02,window,Subject02,tensor(102),0.7201125025749207,0
3,Subject02,window,Subject02,tensor(103),0.14966745674610138,0
3,Subject02,window,Subject02,tensor(104),0.170635387301445,0
3,Subject02,window,Subject02,tensor(105),0.08416097611188889,0
3,Subject02,window,Subject02,tensor(106),0.15302413702011108,0
3,Subject02,window,Subject02,tensor(107),0.16227665543556213,0
3,Subject02,window,Subject02,tensor(108),0.07767417281866074,0
3,Subject02,window,Subject02,tensor(109),0.07487573474645615,0
3,Subject02,window,Subject02,tensor(110),0.18596215546131134,0
3,Subject02,window,Subject02,tensor(111),0.022189276292920113,0
3,Subject02,window,Subject02,tensor(112),0.018095942214131355,0
3,Subject02,window,Subject02,tensor(113),0.02900112047791481,0
3,Subject02,window,Subject02,tensor(114),0.5220021605491638,0
3,Subject02,window,Subject02,tensor(115),0.1559029370546341,0
3,Subject02,window,Subject02,tensor(116),0.024681400507688522,0
3,Subject02,window,Subject02,tensor(117),0.5118499398231506,0
3,Subject02,window,Subject02,tensor(118),0.045831676572561264,0
3,Subject02,window,Subject02,tensor(119),0.4394831359386444,0
3,Subject02,window,Subject02,tensor(120),0.18264053761959076,0
3,Subject02,window,Subject02,tensor(121),0.4393761456012726,0
3,Subject02,window,Subject02,tensor(122),0.03315289691090584,0
3,Subject02,window,Subject02,tensor(123),0.2303888201713562,0
3,Subject02,window,Subject02,tensor(124),0.13132615387439728,0
3,Subject02,window,Subject02,tensor(125),0.09993179887533188,0
3,Subject02,window,Subject02,tensor(126),0.3884541094303131,0
3,Subject02,window,Subject02,tensor(127),0.03885095939040184,0
3,Subject02,window,Subject02,tensor(128),0.3373478353023529,0
3,Subject02,window,Subject02,tensor(129),0.21348001062870026,0
3,Subject02,window,Subject02,tensor(130),0.3910902738571167,0
3,Subject02,window,Subject02,tensor(131),0.26195740699768066,0
3,Subject02,window,Subject02,tensor(132),0.28759101033210754,1
3,Subject02,window,Subject02,tensor(133),0.0222795270383358,1
3,Subject02,window,Subject02,tensor(134),0.0849146917462349,1
3,Subject02,window,Subject02,tensor(135),0.09212642163038254,1
3,Subject02,window,Subject02,tensor(136),0.06921577453613281,1
3,Subject02,window,Subject02,tensor(137),0.10412739962339401,1
3,Subject02,window,Subject02,tensor(138),0.6674377918243408,1
3,Subject02,window,Subject02,tensor(139),0.19224350154399872,1
3,Subject02,window,Subject02,tensor(140),0.026036733761429787,1
3,Subject02,window,Subject02,tensor(141),0.027198707684874535,1
3,Subject02,window,Subject02,tensor(142),0.04723704978823662,1
3,Subject02,window,Subject02,tensor(143),0.027769220992922783,1
4,Subject03,window,Subject03,tensor(144),0.09348941594362259,0
4,Subject03,window,Subject03,tensor(145),0.6366105079650879,0
4,Subject03,window,Subject03,tensor(146),0.16496634483337402,0
4,Subject03,window,Subject03,tensor(147),0.6341394186019897,0
4,Subject03,window,Subject03,tensor(148),0.5672964453697205,0
4,Subject03,window,Subject03,tensor(149),0.05909637361764908,0
4,Subject03,window,Subject03,tensor(150),0.13668881356716156,0
4,Subject03,window,Subject03,tensor(151),0.24619531631469727,0
4,Subject03,window,Subject03,tensor(152),0.06794922053813934,0
4,Subject03,window,Subject03,tensor(153),0.03531096130609512,0
4,Subject03,window,Subject03,tensor(154),0.053892433643341064,0
4,Subject03,window,Subject03,tensor(155),0.15481626987457275,0
4,Subject03,window,Subject03,tensor(156),0.449366956949234,0
4,Subject03,window,Subject03,tensor(157),0.03540821373462677,0
4,Subject03,window,Subject03,tensor(158),0.42708757519721985,0
4,Subject03,window,Subject03,tensor(159),0.44300538301467896,0
4,Subject03,window,Subject03,tensor(160),0.32744520902633667,0
4,Subject03,window,Subject03,tensor(161),0.18240860104560852,0
4,Subject03,window,Subject03,tensor(162),0.4621746242046356,0
4,Subject03,window,Subject03,tensor(163),0.18492890894412994,0
4,Subject03,window,Subject03,tensor(164),0.4841332733631134,0
4,Subject03,window,Subject03,tensor(165),0.4543340802192688,0
4,Subject03,window,Subject03,tensor(166),0.12123675644397736,0
4,Subject03,window,Subject03,tensor(167),0.37940725684165955,0
4,Subject03,window,Subject03,tensor(168),0.05040263384580612,0
4,Subject03,window,Subject03,tensor(169),0.5111939311027527,0
4,Subject03,window,Subject03,tensor(170),0.07472186535596848,0
4,Subject03,window,Subject03,tensor(171),0.19789211452007294,0
4,Subject03,window,Subject03,tensor(172),0.2698918581008911,0
4,Subject03,window,Subject03,tensor(173),0.12743225693702698,0
4,Subject03,window,Subject03,tensor(174),0.6243298053741455,0
4,Subject03,window,Subject03,tensor(175),0.40305793285369873,0
4,Subject03,window,Subject03,tensor(176),0.4486183226108551,0
4,Subject03,window,Subject03,tensor(177),0.22708165645599365,0
4,Subject03,window,Subject03,tensor(178),0.08967266976833344,0
4,Subject03,window,Subject03,tensor(179),0.14284436404705048,0
4,Subject03,window,Subject03,tensor(180),0.06975224614143372,1
4,Subject03,window,Subject03,tensor(181),0.0799885243177414,1
4,Subject03,window,Subject03,tensor(182),0.37248897552490234,1
4,Subject03,window,Subject03,tensor(183),0.08038853853940964,1
4,Subject03,window,Subject03,tensor(184),0.19635817408561707,1
4,Subject03,window,Subject03,tensor(185),0.1399810016155243,1
4,Subject03,window,Subject03,tensor(186),0.13491404056549072,1
4,Subject03,window,Subject03,tensor(187),0.16691730916500092,1
4,Subject03,window,Subject03,tensor(188),0.3090434968471527,1
4,Subject03,window,Subject03,tensor(189),0.45979607105255127,1
4,Subject03,window,Subject03,tensor(190),0.2961393892765045,1
4,Subject03,window,Subject03,tensor(191),0.10421134531497955,1
5,Subject04,window,Subject04,tensor(192),0.1324356347322464,0
5,Subject04,window,Subject04,tensor(193),0.5078365802764893,0
5,Subject04,window,Subject04,tensor(194),0.04240356758236885,0
5,Subject04,window,Subject04,tensor(195),0.332457572221756,0
5,Subject04,window,Subject04,tensor(196),0.1487571895122528,0
5,Subject04,window,Subject04,tensor(197),0.10630939155817032,0
5,Subject04,window,Subject04,tensor(198),0.4906821548938751,0
5,Subject04,window,Subject04,tensor(199),0.09075923264026642,0
5,Subject04,window,Subject04,tensor(200),0.5226367115974426,0
5,Subject04,window,Subject04,tensor(201),0.029212098568677902,0
5,Subject04,window,Subject04,tensor(202),0.11043704301118851,0
5,Subject04,window,Subject04,tensor(203),0.5412663221359253,0
5,Subject04,window,Subject04,tensor(204),0.4616260826587677,0
5,Subject04,window,Subject04,tensor(205),0.4856889545917511,0
5,Subject04,window,Subject04,tensor(206),0.04544685408473015,0
5,Subject04,window,Subject04,tensor(207),0.35644638538360596,0
5,Subject04,window,Subject04,tensor(208),0.39627254009246826,0
5,Subject04,window,Subject04,tensor(209),0.2771685719490051,0
5,Subject04,window,Subject04,tensor(210),0.06784933060407639,0
5,Subject04,window,Subject04,tensor(211),0.38805684447288513,0
5,Subject04,window,Subject04,tensor(212),0.17911086976528168,0
5,Subject04,window,Subject04,tensor(213),0.2361011505126953,0
5,Subject04,window,Subject04,tensor(214),0.059303540736436844,0
5,Subject04,window,Subject04,tensor(215),0.3221397399902344,0
5,Subject04,window,Subject04,tensor(216),0.10132622718811035,0
5,Subject04,window,Subject04,tensor(217),0.21163460612297058,0
5,Subject04,window,Subject04,tensor(218),0.03889334574341774,0
5,Subject04,window,Subject04,tensor(219),0.47464123368263245,0
5,Subject04,window,Subject04,tensor(220),0.1172252893447876,0
5,Subject04,window,Subject04,tensor(221),0.46859657764434814,0
5,Subject04,window,Subject04,tensor(222),0.46073117852211,0
5,Subject04,window,Subject04,tensor(223),0.0640760287642479,0
5,Subject04,window,Subject04,tensor(224),0.14523987472057343,0
5,Subject04,window,Subject04,tensor(225),0.06234161555767059,0
5,Subject04,window,Subject04,tensor(226),0.04611733928322792,1
5,Subject04,window,Subject04,tensor(227),0.18956483900547028,1
5,Subject04,window,Subject04,tensor(228),0.37390947341918945,1
5,Subject04,window,Subject04,tensor(229),0.39605769515037537,1
5,Subject04,window,Subject04,tensor(230),0.16281595826148987,1
5,Subject04,window,Subject04,tensor(231),0.25158706307411194,1
5,Subject04,window,Subject04,tensor(232),0.1607501208782196,1
5,Subject04,window,Subject04,tensor(233),0.2603522539138794,1
5,Subject04,window,Subject04,tensor(234),0.14171339571475983,1
5,Subject04,window,Subject04,tensor(235),0.3307456076145172,1
5,Subject04,window,Subject04,tensor(236),0.038024380803108215,1
5,Subject04,window,Subject04,tensor(237),0.02744869887828827,1
6,Subject05,window,Subject05,tensor(238),0.3060252368450165,0
6,Subject05,window,Subject05,tensor(239),0.2558140754699707,0
6,Subject05,window,Subject05,tensor(240),0.2235672026872635,0
6,Subject05,window,Subject05,tensor(241),0.4925781488418579,0
6,Subject05,window,Subject05,tensor(242),0.28210923075675964,0
6,Subject05,window,Subject05,tensor(243),0.23852810263633728,0
6,Subject05,window,Subject05,tensor(244),0.45959585905075073,0
6,Subject05,window,Subject05,tensor(245),0.23090380430221558,0
6,Subject05,window,Subject05,tensor(246),0.19991262257099152,0
6,Subject05,window,Subject05,tensor(247),0.2957339584827423,0
6,Subject05,window,Subject05,tensor(248),0.23699481785297394,0
6,Subject05,window,Subject05,tensor(249),0.2758466899394989,0
6,Subject05,window,Subject05,tensor(250),0.29072871804237366,0
6,Subject05,window,Subject05,tensor(251),0.16114859282970428,0
6,Subject05,window,Subject05,tensor(252),0.2352604866027832,0
6,Subject05,window,Subject05,tensor(253),0.17727883160114288,0
6,Subject05,window,Subject05,tensor(254),0.22316057980060577,0
6,Subject05,window,Subject05,tensor(255),0.16637569665908813,0
6,Subject05,window,Subject05,tensor(256),0.2041783183813095,0
6,Subject05,window,Subject05,tensor(257),0.15698526799678802,0
6,Subject05,window,Subject05,tensor(258),0.23999325931072235,0
6,Subject05,window,Subject05,tensor(259),0.3187335133552551,0
6,Subject05,window,Subject05,tensor(260),0.5036512017250061,0
6,Subject05,window,Subject05,tensor(261),0.2877139449119568,0
6,Subject05,window,Subject05,tensor(262),0.18641622364521027,0
6,Subject05,window,Subject05,tensor(263),0.3692004680633545,0
6,Subject05,window,Subject05,tensor(264),0.44748249650001526,0
6,Subject05,window,Subject05,tensor(265),0.2686026692390442,0
6,Subject05,window,Subject05,tensor(266),0.2436576932668686,0
6,Subject05,window,Subject05,tensor(267),0.33878254890441895,0
6,Subject05,window,Subject05,tensor(268),0.31873518228530884,0
6,Subject05,window,Subject05,tensor(269),0.20473217964172363,0
6,Subject05,window,Subject05,tensor(270),0.2781684100627899,0
6,Subject05,window,Subject05,tensor(271),0.2931514084339142,0
6,Subject05,window,Subject05,tensor(272),0.22578124701976776,0
6,Subject05,window,Subject05,tensor(273),0.3403656780719757,0
6,Subject05,window,Subject05,tensor(274),0.18625998497009277,1
6,Subject05,window,Subject05,tensor(275),0.17951332032680511,1
6,Subject05,window,Subject05,tensor(276),0.3788034915924072,1
6,Subject05,window,Subject05,tensor(277),0.4327046573162079,1
6,Subject05,window,Subject05,tensor(278),0.2081836611032486,1
6,Subject05,window,Subject05,tensor(279),0.248909130692482,1
6,Subject05,window,Subject05,tensor(280),0.5281043648719788,1
6,Subject05,window,Subject05,tensor(281),0.19012309610843658,1
6,Subject05,window,Subject05,tensor(282),0.29426997900009155,1
6,Subject05,window,Subject05,tensor(283),0.23727856576442719,1
6,Subject05,window,Subject05,tensor(284),0.2395843267440796,1
6,Subject05,window,Subject05,tensor(285),0.1933569610118866,1
7,Subject06,window,Subject06,tensor(286),0.03891352564096451,0
7,Subject06,window,Subject06,tensor(287),0.3021693229675293,0
7,Subject06,window,Subject06,tensor(288),0.028757425025105476,0
7,Subject06,window,Subject06,tensor(289),0.2498449683189392,0
7,Subject06,window,Subject06,tensor(290),0.1034349724650383,0
7,Subject06,window,Subject06,tensor(291),0.3646489679813385,0
7,Subject06,window,Subject06,tensor(292),0.3455699384212494,0
7,Subject06,window,Subject06,tensor(293),0.45994991064071655,0
7,Subject06,window,Subject06,tensor(294),0.1609068512916565,0
7,Subject06,window,Subject06,tensor(295),0.05647281929850578,0
7,Subject06,window,Subject06,tensor(296),0.5202699899673462,0
7,Subject06,window,Subject06,tensor(297),0.034018829464912415,0
7,Subject06,window,Subject06,tensor(298),0.49667710065841675,0
7,Subject06,window,Subject06,tensor(299),0.03585409000515938,0
7,Subject06,window,Subject06,tensor(300),0.20255406200885773,0
7,Subject06,window,Subject06,tensor(301),0.4196120500564575,0
7,Subject06,window,Subject06,tensor(302),0.05042369291186333,0
7,Subject06,window,Subject06,tensor(303),0.5316362380981445,0
7,Subject06,window,Subject06,tensor(304),0.21401873230934143,0
7,Subject06,window,Subject06,tensor(305),0.0763627216219902,0
7,Subject06,window,Subject06,tensor(306),0.4729921221733093,0
7,Subject06,window,Subject06,tensor(307),0.10544958710670471,0
7,Subject06,window,Subject06,tensor(308),0.1167999878525734,0
7,Subject06,window,Subject06,tensor(309),0.206336110830307,0
7,Subject06,window,Subject06,tensor(310),0.19155436754226685,0
7,Subject06,window,Subject06,tensor(311),0.13584251701831818,0
7,Subject06,window,Subject06,tensor(312),0.12689390778541565,0
7,Subject06,window,Subject06,tensor(313),0.17031915485858917,0
7,Subject06,window,Subject06,tensor(314),0.15375126898288727,0
7,Subject06,window,Subject06,tensor(315),0.5438207387924194,0
7,Subject06,window,Subject06,tensor(316),0.15465053915977478,0
7,Subject06,window,Subject06,tensor(317),0.05904761329293251,0
7,Subject06,window,Subject06,tensor(318),0.08590193837881088,0
7,Subject06,window,Subject06,tensor(319),0.5874916911125183,0
7,Subject06,window,Subject06,tensor(320),0.725207507610321,0
7,Subject06,window,Subject06,tensor(321),0.6971991658210754,0
7,Subject06,window,Subject06,tensor(322),0.0721227154135704,1
7,Subject06,window,Subject06,tensor(323),0.6976205706596375,1
7,Subject06,window,Subject06,tensor(324),0.14370593428611755,1
7,Subject06,window,Subject06,tensor(325),0.206775963306427,1
7,Subject06,window,Subject06,tensor(326),0.07135918736457825,1
7,Subject06,window,Subject06,tensor(327),0.2894514799118042,1
7,Subject06,window,Subject06,tensor(328),0.04776816815137863,1
7,Subject06,window,Subject06,tensor(329),0.5713268518447876,1
7,Subject06,window,Subject06,tensor(330),0.11697324365377426,1
7,Subject06,window,Subject06,tensor(331),0.08180267363786697,1
7,Subject06,window,Subject06,tensor(332),0.025346742942929268,1
7,Subject06,window,Subject06,tensor(333),0.5299783945083618,1
8,Subject07,window,Subject07,tensor(334),0.09294425696134567,0
8,Subject07,window,Subject07,tensor(335),0.14830705523490906,0
8,Subject07,window,Subject07,tensor(336),0.08946949988603592,0
8,Subject07,window,Subject07,tensor(337),0.44723695516586304,0
8,Subject07,window,Subject07,tensor(338),0.485218346118927,0
8,Subject07,window,Subject07,tensor(339),0.31985238194465637,0
8,Subject07,window,Subject07,tensor(340),0.4158421754837036,0
8,Subject07,window,Subject07,tensor(341),0.6882144808769226,0
8,Subject07,window,Subject07,tensor(342),0.03814031183719635,0
8,Subject07,window,Subject07,tensor(343),0.2299177050590515,0
8,Subject07,window,Subject07,tensor(344),0.16534416377544403,0
8,Subject07,window,Subject07,tensor(345),0.5314725637435913,0
8,Subject07,window,Subject07,tensor(346),0.05947321280837059,0
8,Subject07,window,Subject07,tensor(347),0.18320532143115997,0
8,Subject07,window,Subject07,tensor(348),0.6395303010940552,0
8,Subject07,window,Subject07,tensor(349),0.03494485467672348,0
8,Subject07,window,Subject07,tensor(350),0.15458045899868011,0
8,Subject07,window,Subject07,tensor(351),0.5047625303268433,0
8,Subject07,window,Subject07,tensor(352),0.1702154278755188,0
8,Subject07,window,Subject07,tensor(353),0.4663529694080353,0
8,Subject07,window,Subject07,tensor(354),0.40153199434280396,0
8,Subject07,window,Subject07,tensor(355),0.08975575119256973,0
8,Subject07,window,Subject07,tensor(356),0.03429687023162842,0
8,Subject07,window,Subject07,tensor(357),0.3023342788219452,0
8,Subject07,window,Subject07,tensor(358),0.06224026903510094,0
8,Subject07,window,Subject07,tensor(359),0.1793832629919052,0
8,Subject07,window,Subject07,tensor(360),0.5519630908966064,0
8,Subject07,window,Subject07,tensor(361),0.04529660567641258,0
8,Subject07,window,Subject07,tensor(362),0.30618324875831604,0
8,Subject07,window,Subject07,tensor(363),0.03817949816584587,0
8,Subject07,window,Subject07,tensor(364),0.5420224070549011,0
8,Subject07,window,Subject07,tensor(365),0.10464596748352051,0
8,Subject07,window,Subject07,tensor(366),0.6850342750549316,0
8,Subject07,window,Subject07,tensor(367),0.07565992325544357,0
8,Subject07,window,Subject07,tensor(368),0.42655691504478455,0
8,Subject07,window,Subject07,tensor(369),0.21044661104679108,0
8,Subject07,window,Subject07,tensor(370),0.2180182933807373,1
8,Subject07,window,Subject07,tensor(371),0.5408632159233093,1
8,Subject07,window,Subject07,tensor(372),0.12076539546251297,1
8,Subject07,window,Subject07,tensor(373),0.44605839252471924,1
8,Subject07,window,Subject07,tensor(374),0.35157373547554016,1
8,Subject07,window,Subject07,tensor(375),0.674476146697998,1
8,Subject07,window,Subject07,tensor(376),0.0455060675740242,1
8,Subject07,window,Subject07,tensor(377),0.36517709493637085,1
8,Subject07,window,Subject07,tensor(378),0.1467353254556656,1
8,Subject07,window,Subject07,tensor(379),0.05542514845728874,1
8,Subject07,window,Subject07,tensor(380),0.1631578654050827,1
8,Subject07,window,Subject07,tensor(381),0.28483110666275024,1
9,Subject08,window,Subject08,tensor(382),0.20315732061862946,0
9,Subject08,window,Subject08,tensor(383),0.16653750836849213,0
9,Subject08,window,Subject08,tensor(384),0.4271175265312195,0
9,Subject08,window,Subject08,tensor(385),0.12212055921554565,0
9,Subject08,window,Subject08,tensor(386),0.5612034201622009,0
9,Subject08,window,Subject08,tensor(387),0.17770349979400635,0
9,Subject08,window,Subject08,tensor(388),0.26121625304222107,0
9,Subject08,window,Subject08,tensor(389),0.12105052918195724,0
9,Subject08,window,Subject08,tensor(390),0.06468294560909271,0
9,Subject08,window,Subject08,tensor(391),0.2193535715341568,0
9,Subject08,window,Subject08,tensor(392),0.4572904706001282,0
9,Subject08,window,Subject08,tensor(393),0.5488365888595581,0
9,Subject08,window,Subject08,tensor(394),0.2700742781162262,0
9,Subject08,window,Subject08,tensor(395),0.22685740888118744,0
9,Subject08,window,Subject08,tensor(396),0.17667633295059204,0
9,Subject08,window,Subject08,tensor(397),0.052868690341711044,0
9,Subject08,window,Subject08,tensor(398),0.5409685373306274,0
9,Subject08,window,Subject08,tensor(399),0.06558133661746979,0
9,Subject08,window,Subject08,tensor(400),0.14051079750061035,0
9,Subject08,window,Subject08,tensor(401),0.05301331356167793,0
9,Subject08,window,Subject08,tensor(402),0.6007131934165955,0
9,Subject08,window,Subject08,tensor(403),0.07337814569473267,0
9,Subject08,window,Subject08,tensor(404),0.0499730221927166,0
9,Subject08,window,Subject08,tensor(405),0.05041205883026123,0
9,Subject08,window,Subject08,tensor(406),0.14937646687030792,0
9,Subject08,window,Subject08,tensor(407),0.057101525366306305,0
9,Subject08,window,Subject08,tensor(408),0.10706062614917755,0
9,Subject08,window,Subject08,tensor(409),0.303179532289505,0
9,Subject08,window,Subject08,tensor(410),0.15248723328113556,0
9,Subject08,window,Subject08,tensor(411),0.1231590285897255,0
9,Subject08,window,Subject08,tensor(412),0.535951554775238,0
9,Subject08,window,Subject08,tensor(413),0.05384453013539314,0
9,Subject08,window,Subject08,tensor(414),0.26968926191329956,0
9,Subject08,window,Subject08,tensor(415),0.49758461117744446,0
9,Subject08,window,Subject08,tensor(416),0.5599679946899414,0
9,Subject08,window,Subject08,tensor(417),0.14928235113620758,0
9,Subject08,window,Subject08,tensor(418),0.1487438827753067,1
9,Subject08,window,Subject08,tensor(419),0.3522557020187378,1
9,Subject08,window,Subject08,tensor(420),0.36184200644493103,1
9,Subject08,window,Subject08,tensor(421),0.04588891938328743,1
9,Subject08,window,Subject08,tensor(422),0.4076947867870331,1
9,Subject08,window,Subject08,tensor(423),0.5434609651565552,1
9,Subject08,window,Subject08,tensor(424),0.2533355951309204,1
9,Subject08,window,Subject08,tensor(425),0.0810830220580101,1
9,Subject08,window,Subject08,tensor(426),0.5884294509887695,1
9,Subject08,window,Subject08,tensor(427),0.19270725548267365,1
9,Subject08,window,Subject08,tensor(428),0.15216395258903503,1
9,Subject08,window,Subject08,tensor(429),0.1184631809592247,1
10,Subject09,window,Subject09,tensor(430),0.5599149465560913,0
10,Subject09,window,Subject09,tensor(431),0.12665525078773499,0
10,Subject09,window,Subject09,tensor(432),0.06236372888088226,0
10,Subject09,window,Subject09,tensor(433),0.043221138417720795,0
10,Subject09,window,Subject09,tensor(434),0.04127323254942894,0
10,Subject09,window,Subject09,tensor(435),0.0667373389005661,0
10,Subject09,window,Subject09,tensor(436),0.0766511857509613,0
10,Subject09,window,Subject09,tensor(437),0.3339538872241974,0
10,Subject09,window,Subject09,tensor(438),0.15753872692584991,0
10,Subject09,window,Subject09,tensor(439),0.36117860674858093,0
10,Subject09,window,Subject09,tensor(440),0.07832685858011246,0
10,Subject09,window,Subject09,tensor(441),0.5398746728897095,0
10,Subject09,window,Subject09,tensor(442),0.04630543664097786,0
10,Subject09,window,Subject09,tensor(443),0.27693331241607666,0
10,Subject09,window,Subject09,tensor(444),0.04259690269827843,0
10,Subject09,window,Subject09,tensor(445),0.07730647921562195,0
10,Subject09,window,Subject09,tensor(446),0.046390313655138016,0
10,Subject09,window,Subject09,tensor(447),0.19205334782600403,0
10,Subject09,window,Subject09,tensor(448),0.25618818402290344,0
10,Subject09,window,Subject09,tensor(449),0.0632244274020195,0
